return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2014-11-25T06:13:04+00:00	109-9570389-3852267	JCP-100314-2200-ANNABOOTS.11/12	B00H8YWIK6	X000NXVC3T	Disney Store Anna Boots for Girls Frozen Size 11 - 12	1	LAS2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2014-11-21T20:47:08+00:00	113-7478635-5615407	6T-HD3K-33OQ	B0085MRFVW	X000OLHS15	NETGEAR Broadband ADSL2 Plus Modem - DM111PSP-100NAS	1	LEX2	SELLABLE	DEFECTIVE	Unit returned to inventory
2014-11-21T01:10:06+00:00	112-5082659-0502623	U(RA?)-U-tryfor$18return-TRANS.SNARL	B001CA356I	X000MSFKU1	Transformers Animated Deluxe:Snarl	1	LEX2	DAMAGED	NOT_AS_DESCRIBED	Reimbursed
2014-11-20T03:45:41+00:00	107-4024781-9646649	JCP-100314-1000-FIGUREPACK.TOYSTORY	B00GF0R13I	X000NXRZSF	Disney Toy Story 6-pc. Figure Set	1	LAS2	CARRIER_DAMAGED	UNDELIVERABLE_UNKNOWN	Reimbursed
2014-11-19T05:54:29+00:00	113-3891849-5852205	7O-U4CC-ZL2N	B009UCEGCM	X000OKSD0L	Barbie Beautiful Fairy Barbie Doll	1	LEX2	SELLABLE	UNDELIVERABLE_UNKNOWN	Unit returned to inventory
2014-11-18T05:29:53+00:00	113-4414450-5631432	KM-090514-1999-BUMBOBABYSEAT.LILAC	B0092NNR7E	X000NEHSDL	Bumbo Floor Seat, Lilac	1	CVG2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2014-11-12T09:07:14+00:00	106-5632585-0989051	WAL-041214-299-WHAMOSUPERDUPERBALL	B005KDCTSS	B005KDCTSS	Wham-O Super Duper Ball	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory
2014-11-12T09:07:14+00:00	106-5632585-0989051	WAL-041214-299-WHAMOSUPERDUPERBALL	B005KDCTSS	B005KDCTSS	Wham-O Super Duper Ball	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory
2014-11-12T09:07:14+00:00	106-5632585-0989051	WAL-041214-299-WHAMOSUPERDUPERBALL	B005KDCTSS	B005KDCTSS	Wham-O Super Duper Ball	1	LEX2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory
2014-11-11T17:07:03+00:00	111-6533201-0385837	JCP-100314-2200-ANNABOOTS.11/12	B00H8YWIK6	X000NXVC3T	Disney Store Anna Boots for Girls Frozen Size 11 - 12	1	LAS2	SELLABLE	MISSED_ESTIMATED_DELIVERY	Unit returned to inventory
