approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2016-04-25T00:00:00+00:00	574814701			Damaged_Warehouse	TRU-32114-279-TRANS.BUMBLEBEE.GAME	X000MMJOSV	B00CX3AHQY	Transformers Playskool Heroes Rescue Bots Beam Box Bumblebee Game Pack	NewItem	USD	2.92	2.92	1	0	1		
2016-04-22T00:00:00+00:00	573587991	1724219301	106-6938598-7187422	CustomerServiceIssue						USD	21.50	21.50					
2016-04-22T00:00:00+00:00	573587011	1724219301	112-5981912-1355440	CustomerServiceIssue						USD	61.37	61.37					
2016-04-20T00:00:00+00:00	571494031		113-7594998-3569816	CustomerReturn	746775096595-C	B005XUI71G	B005XUI71G	Fisher-Price Little People Tow 'n Pull Tractor	NewItem	USD	14.36	0.00	0	1	1		
2016-04-20T00:00:00+00:00	570958511			Damaged_Warehouse	887961060409-C	B00LFDU588	B00LFDU588	Barbie Fashion Accessories Pack 1	NewItem	USD	4.61	4.61	1	0	1		
2016-04-16T00:00:00+00:00	568350251			Damaged_Warehouse	WP-3PRM-CMN5	X000T1L4ZV	B00405EDGI	Garfield: Runnin Thru The Daisies USB Keyboard	NewItem	USD	25.00	25.00	1	0	1		
2016-04-12T00:00:00+00:00	564460361			Lost_Warehouse	015586884395-C	B0146MCH12	B0146MCH12	Martha Stewart Crafts 42-03013 Geometric Design Embossing Plates	NewItem	USD	6.87	6.87	1	0	1		
2016-04-06T00:00:00+00:00	559915411			Lost_Warehouse	045672634092_L	X000VUSNE5	B00EMGM21I	Frozen Anna's Tiara	NewItem	USD	7.17	7.17	1	0	1		
2016-04-02T00:00:00+00:00	557832161		115-5850303-8960261	CustomerReturn	049022848146-C	B016TND87S	B016TND87S	Ultimate Spider-Man Web-Warriors Electric Racing Cars	NewItem	USD	8.61	8.61	1	0	1		
2016-04-01T00:00:00+00:00	556431171			Lost_Warehouse	7H-PI5R-WEVG	X000PC843T	B00ERK403M	Barbie Fairytale Mix and Match Dress Up Playset	NewItem	USD	27.86	27.86	1	0	1		
2016-03-31T00:00:00+00:00	555805481	1700796831	103-5662615-8992262	CustomerServiceIssue	EH-9JRV-KQMP	X000Q9ECZZ	B0050TDG02	Nanoblock Neuschwanstein Castle Deluxe Edition	NewItem	USD	184.71	184.71	1		1		
2016-03-31T00:00:00+00:00	555804101	1700796831	102-3966581-4489000	CustomerServiceIssue	KM-100914-109-HW.PAGANIHUAYRA.RED	X000O5I455	B00FNKW18G	Pagani Huayra 1/18 Red	NewItem	USD	28.32	28.32	1		1		
2016-03-31T00:00:00+00:00	555802841	1700796831	104-4798745-2311425	CustomerServiceIssue	KM-100914-109-HW.PAGANIHUAYRA.RED	X000O5I455	B00FNKW18G	Pagani Huayra 1/18 Red	NewItem	USD	28.32	28.32	1		1		
2016-03-31T00:00:00+00:00	555802311	1700796831	115-0024322-0954601	CustomerServiceIssue	KM-100914-109-HW.PAGANIHUAYRA.RED	X000O5I455	B00FNKW18G	Pagani Huayra 1/18 Red	NewItem	USD	28.32	28.32	1		1		
2016-03-31T00:00:00+00:00	555801111	1700796831	114-4984576-2945024	CustomerServiceIssue	JS-JE58-ZQXN	X000RZNJIJ	B00005IBX4	Lexmark 10N0026 #26 Color Ink Cartridge	NewItem	USD	5.70	11.40	2		2		
2016-03-31T00:00:00+00:00	555800971	1700797371	112-2411266-8025811	CustomerServiceIssue						USD	35.00	35.00					
2016-03-31T00:00:00+00:00	555800951	1700797371	112-5160283-3674605	CustomerServiceIssue						USD	43.33	43.33					
2016-03-30T00:00:00+00:00	555748151	1700797821		Damaged_Warehouse	7W-AVQM-322M	X000SR9RMD	B00GR2D5WU	Disney Princess Deluxe Ariel Styling Head	NewItem	USD	107.36	107.36	1	0	1		
2016-03-27T00:00:00+00:00	552850091			Damaged_Warehouse	015586884395-C	B0146MCH12	B0146MCH12	Martha Stewart Crafts 42-03013 Geometric Design Embossing Plates	NewItem	USD	6.82	6.82	1	0	1		
2016-03-25T00:00:00+00:00	551892651	1696048341		Lost_Inbound	653569810704_C	B00A8UT5TY	B00A8UT5TY	Playskool Heroes Transformers Rescue Bots Boulder the Construction-Bot Figure	NewItem	USD	9.23	0.00	0	2	2		
